YYMMDDHH,PRECIP,WS10M
10030312,0.0,3.12
10030318,0.0,3.86
10030400,0.0,2.38
10030406,0.0,2.4
10030412,0.0,3.44
10030418,0.0,3.46
10030500,0.0,2.51
10030506,0.0,2.82
10030512,0.0,4.85
10030518,0.0,3.45
10030600,0.0,2.48
10030606,0.0,2.31
10030612,0.02,3.39
10030618,0.0,2.77
10030700,0.0,2.22
10030706,0.0,2.1
10030712,0.35000000000000003,2.9
10030718,0.05,3.09
10030800,0.02,2.26
10030806,0.05,2.52
10030812,0.0,4.27
10030818,0.6400000000000001,3.32
10030900,0.8500000000000001,2.37
10030906,0.17,2.08
10030912,0.0,1.99
10030918,0.01,1.43
10031000,0.0,1.89
10031006,0.08,2.41
10031012,0.43999999999999995,4.54
10031018,0.7000000000000001,4.57
10031100,1.16,3.74
10031106,1.22,3.86
10031112,4.39,5.88
10031118,2.3,4.54
10031200,1.26,3.68
10031206,3.3600000000000003,3.18
10031212,2.7900000000000005,5.81
10031218,2.55,3.51
10031300,2.27,2.16
10031306,2.5399999999999996,2.1
10031312,0.99,4.19
10031318,0.5,3.1
10031400,0.4600000000000001,2.23
10031406,0.46,2.67
10031412,0.28,5.12
10031418,0.0,3.63
10031500,0.06,2.68
10031506,0.34,2.6
10031512,0.61,5.2
10031518,0.19,3.73
10031600,0.060000000000000005,2.51
10031606,0.01,2.49
10031612,0.02,5.01
10031618,0.060000000000000005,4.34
10031700,0.12,3.66
10031706,0.15,3.33
10031712,1.17,5.68
10031718,0.7700000000000001,3.7
10031800,0.53,2.97
10031806,0.38,2.97
10031812,0.27,5.52
10031818,0.72,3.15
10031900,0.72,2.41
10031906,1.6500000000000001,2.92
10031912,0.4600000000000001,4.84
10031918,0.01,3.71
10032000,0.0,2.59
10032006,0.03,2.68
10032012,0.15,4.74
10032018,0.07,3.59
10032100,0.07,2.55
10032106,0.12,3.04
10032112,2.07,5.37
10032118,2.79,3.82
10032200,1.07,3.68
10032206,0.38,3.24
10032212,0.6200000000000001,5.21
10032218,0.03,3.49
10032300,0.0,2.67
10032306,0.22000000000000003,2.75
10032312,0.31000000000000005,5.01
10032318,0.12000000000000001,3.83
10032400,0.03,2.34
10032406,0.0,2.4
10032412,0.01,2.67
10032418,0.01,2.78
10032500,0.0,1.8
10032506,0.03,1.92
10032512,0.0,2.38
10032518,0.0,1.46
10032600,0.09,2.54
10032606,0.42999999999999994,2.46
10032612,1.79,6.27
10032618,0.6000000000000001,4.41
10032700,1.7400000000000002,4
10032706,1.26,3.74
10032712,0.43,4.94
10032718,0.07,3.68
10032800,0.08,2.48
10032806,0.27999999999999997,3
10032812,0.98,4.54
10032818,0.62,4.12
10032900,0.51,3.5
10032906,0.52,4.04
10032912,1.25,6.15
10032918,0.9700000000000001,4.61
10033000,0.16000000000000003,3.15
10033006,0.23000000000000004,3.72
10033012,0.24000000000000002,5.65
10033018,0.11,4.08
10033100,0.25,2.78
10033106,0.73,2.88
10033112,0.89,4.4
10033118,0.29000000000000004,3.98
10040100,0.0,2.15
10040106,0.02,2.32
10040112,0.01,3.01
10040118,0.05,3.33
10040200,0.0,1.94
10040206,0.0,2.34
