YYMMDDHH,PRECIP,WS10M
10010100,0.0,3.54
10010103,0.0,2.81
10010106,0.0,3.18
10010109,0.01,5.72
10010112,0.0,5.79
10010115,0.0,5.39
10010118,0.01,3.67
10010121,0.03,3.42
10010200,0.03,2.73
10010203,0.03,2.41
10010206,0.03,3
10010209,0.03,5.4
10010212,0.11000000000000001,5.23
10010215,0.06999999999999999,4.82
10010218,0.03,3.18
10010221,0.03,2.67
10010300,0.02,1.99
10010303,0.1,2.11
10010306,0.16,1.96
10010309,1.21,1.92
10010312,1.2999999999999998,0.49
10010315,0.84,0.3
10010318,0.6499999999999999,1.06
10010321,0.29000000000000004,2.01
10010400,0.47,1.85
10010403,1.98,1.91
10010406,2.26,2.22
10010409,1.47,3.51
10010412,1.0699999999999998,3.31
10010415,0.85,3.03
10010418,0.5800000000000001,2.73
10010421,0.49,2.78
10010500,0.39,2.35
10010503,0.63,2.13
10010506,1.01,2.26
10010509,0.72,3.58
10010512,0.30000000000000004,2.88
10010515,0.22,2.77
10010518,0.11000000000000001,2.81
10010521,0.11,2.6
10010600,0.09,2.07
10010603,0.14,1.96
10010606,0.15000000000000002,2.33
10010609,0.07,3.63
10010612,0.02,3.1
10010615,0.0,3.03
10010618,0.0,2.98
10010621,0.01,2.48
10010700,0.02,2.01
10010703,0.03,1.94
10010706,0.03,2.02
10010709,0.30000000000000004,2.9
10010712,0.33999999999999997,2.89
10010715,0.16,3.45
10010718,0.08,2.72
10010721,0.11,2.71
10010800,0.45,2.26
10010803,0.56,1.91
10010806,0.6799999999999999,2.33
10010809,0.37000000000000005,4.02
10010812,0.19,3.3
10010815,0.09,3.11
10010818,0.03,2.97
10010821,0.03,2.2
10010900,0.03,1.91
10010903,0.01,1.98
10010906,0.0,2.19
10010909,0.13,3.35
10010912,0.25,3.1
10010915,0.18,3.14
10010918,0.09000000000000001,2.85
10010921,0.04,2.77
10011000,0.13,2.63
10011003,0.19,2.33
10011006,0.09999999999999999,2.35
10011009,0.01,3.4
10011012,0.0,2.86
10011015,0.0,2.81
10011018,0.0,2.65
10011021,0.0,2.51
10011100,0.01,1.98
10011103,0.03,1.89
10011106,0.03,2.03
10011109,0.25,2.95
10011112,0.33999999999999997,2.5
10011115,0.18000000000000002,2.35
10011118,0.07,2.2
10011121,0.09,2.21
10011200,0.1,1.84
10011203,0.07,1.98
10011206,0.03,2.06
10011209,0.12,3.06
10011212,0.14,3.04
10011215,0.12,3.36
10011218,0.05,3.07
10011221,0.14,3.01
