,ID,t,phi,f,P,mw,w10m,v,r,resid^2,rf,fit,,,,,
53,2002,-18,124.3,1.76E-05,1006,0,2.14,18.18099327,364.5829584,0.745724312,7.62,8.483553306,,,,,
54,2002,-15,123.9,1.80E-05,1006,0,1.9,18.16600441,316.5491294,18.90569423,13.98,9.631932127,,,,,
55,2002,-12,123.4,1.82E-05,1005,0,1.75,19.42610955,260.8316866,0.197133651,11.79,11.34600265,,,,,
56,2002,-9,122.9,1.85E-05,1004,0,1.76,19.41103207,206.7740281,57.86318253,5.64,13.2467853,,,,,
57,2002,-6,122.35,1.87E-05,1004,0,2.45,21.06425236,150.7600559,225.1632051,2.16,17.16543919,,,,,
58,2002,-3,121.8,1.89E-05,1004,0,2.16,21.04700514,103.6942248,317.9048008,0.39,18.21988505,,,,,
59,2002,0,121.15,1.94E-05,1003,0,2.13,26.60963624,95.57198381,250.703899,2.55,18.3836319,,,,,
60,2002,3,120.5,1.98E-05,1002,0,0.69,26.57504098,142.3999295,9.644622415,9.33,12.43557924,,,,,
61,2002,6,119.95,2.00E-05,1002,0,1.19,20.39229786,185.7718403,24.93316424,16.08,11.08668805,,,,,
62,2002,9,119.4,2.02E-05,1002,0,3.14,20.37811226,237.0459969,97.07317808,23.19,13.33742784,,,,,
63,2002,12,118.85,2.03E-05,1001,0,4.08,20.36379822,292.0355701,666.1142171,38.7,12.89081138,,,,,
64,2002,15,118.3,2.05E-05,1000,0,5.55,20.34935585,348.9422836,360.1206768,32.58,13.60315419,,,,,
65,2002,18,117.95,2.08E-05,999,17.5,4.79,14.478948,392.0367055,62.9071326,18.27,10.33859832,,,,,
66,2002,21,117.6,2.10E-05,998,35,3.95,14.4677759,435.0812774,53.8797175,0,7.340280478,,,,,
67,2002,24,117.15,2.14E-05,998,35,2.41,20.54787755,495.9692521,1.291367972,0,1.136383726,,,,,
68,1409,-24,126.25,1.59E-05,962.5,67.5,0.45,0,611.8870412,59.62471059,0,-7.721703866,,,,,
69,1409,-21,125.6,1.60E-05,960,70,1.7,23.60170553,544.1725625,0.267770958,0,-0.517465901,,,,,
70,1409,-18,125.15,1.61E-05,955,75,1.78,16.69779516,494.744205,0.533700147,0,0.73054784,,,,,
71,1409,-15,124.7,1.62E-05,950,80,2,16.69147687,445.5417394,7.847181731,0,2.801282158,,,,,
72,1409,-12,124.05,1.65E-05,947.5,82.5,2.55,25.24158398,369.6337962,44.14853354,14.16,7.515563716,,,,,
73,1409,-9,123.4,1.69E-05,945,85,2.96,25.21912211,293.949009,443.0491026,32.28,11.23126839,,,,,
74,1409,-6,122.65,1.72E-05,945,85,3.08,29.22662249,206.4051973,440.5967994,36.24,15.24960221,,,,,
75,1409,-3,121.9,1.76E-05,945,85,2.9,29.19439029,119.678222,110.1737475,28.68,18.1836317,,,,,
76,1409,0,121.15,1.77E-05,952.5,77.5,5.2,27.24369073,58.81026375,20.68856697,21.93,26.47846864,,,,,
77,1409,3,120.4,1.78E-05,960,70,5.26,27.23192808,77.19744621,0.48065557,26.82,26.12670672,,,,,
78,1409,6,119.7,1.84E-05,962.5,67.5,5.68,30.14290393,138.1869027,329.5585616,42.66,24.50625213,,,,,
79,1409,9,119,1.89E-05,965,65,6.69,30.099378,220.0288367,417.7487361,43.68,23.24109748,,,,,
80,1409,12,118.3,1.89E-05,967.5,62.5,9.23,25.07771505,293.4754995,18.29596002,21.57,25.8473777,,,,,
81,1409,15,117.6,1.89E-05,970,60,7.63,25.07771505,367.6453466,0.330475843,19.38,18.80512972,,,,,
82,1409,18,117.2,1.93E-05,970,60,5.28,17.04069548,414.3625267,104.9236443,0,10.24322431,,,,,
83,1409,21,116.8,1.96E-05,970,60,3.14,17.02622197,461.8264399,7.660097217,0,2.767688063,,,,,
84,1409,24,116.2,1.99E-05,965,62.5,2.54,24.11703653,531.7962034,3.91637507,0,-1.978983343,,,,,
85,1325,-24,125.75,1.92E-05,977.5,62.5,1.75,0,517.7282557,0.001002082,0,-0.031655679,,,,,
