,ID,t,phi,f,P,mw,w10m,v,r,rf_modded
0,1726,-24,126,1.52E-05,998,35,2.99,0,612.7919487,27.59791222
1,1726,-21,125.8,1.53E-05,1000,17.5,3.55,7.48706412,590.8070648,55.95784504
2,1726,-18,125.6,1.54E-05,1002,0,4.57,7.485741164,568.8741088,90.17775864
3,1726,-15,125.4,1.55E-05,1002,0,3.7,8.139850821,544.290236,2.971495254
4,1726,-12,125.2,1.56E-05,1002,0,3.23,8.137387239,519.7201399,10.82635856
5,1726,-9,124.7,1.57E-05,1003,0,3.58,18.21110899,469.5330444,14.34730161
6,1726,-6,124.2,1.57E-05,1004,0,3.96,18.20762988,420.4958242,129.1181157
7,1726,-3,123.45,1.56E-05,1004,0,4.17,27.74623736,366.8547105,224.5078712
8,1726,0,122.7,1.54E-05,1004,0,4.14,27.76141063,325.7359011,200.5914506
9,1726,3,122.2,1.49E-05,1004,0,5.68,23.42472396,338.2741814,130.7354185
10,1726,6,121.7,1.44E-05,1004,0,7.38,23.44483573,364.0667943,281.0098999
11,1726,9,121.05,1.40E-05,1004,0,7.35,26.13994006,388.8969423,193.3652907
12,1726,12,120.4,1.36E-05,1004,0,6.8,26.16163125,426.8853954,162.2773176
13,1726,15,120.05,1.35E-05,1004,0,6.58,13.2866408,445.0454328,142.4340265
14,1726,18,119.7,1.34E-05,1004,0,6.32,13.29066215,465.9265121,87.61734102
15,1726,21,119.25,1.33E-05,1004,0,6.29,16.5194928,488.160047,3.507889399
16,1726,24,118.8,1.33E-05,1004,0,5.22,16.52213759,514.2344762,2.679950791
17,1826,-24,125.65,2.11E-05,962.5,75,2.46,0,558.6582413,0.958053351
18,1826,-21,125.2,2.10E-05,955,80,2.08,16.40769924,511.2903282,6.659194491
19,1826,-18,124.7,2.10E-05,955,80,1.89,17.7613865,465.141121,11.3182949
20,1826,-15,124.2,2.10E-05,955,80,2.71,17.7613865,420.6817425,42.12497733
21,1826,-12,123.6,2.10E-05,955,80,2.6,21.3136638,370.4171433,67.07318019
22,1826,-9,123,2.10E-05,955,80,2.18,21.3136638,324.9946037,67.13496032
23,1826,-6,122.3,2.09E-05,962.5,75,2.63,25.1525209,271.7335126,144.3185585
24,1826,-3,121.6,2.08E-05,970,70,2.91,25.16536731,231.085258,170.1721224
25,1826,0,120.85,2.07E-05,977.5,62.5,3.47,26.74096663,216.3985274,284.47207
26,1826,3,120.1,2.07E-05,985,55,4.34,26.74785768,230.4995118,398.0374594
27,1826,6,119.6,2.09E-05,985,55,6.05,19.24930835,275.3468705,181.0256384
28,1826,9,119.1,2.11E-05,985,55,6.41,19.23204746,324.199513,18.12564078
29,1826,12,118.85,2.13E-05,987.5,52.5,5.26,9.611671618,349.5923433,0.062771624
30,1826,15,118.6,2.14E-05,990,50,4.03,9.607294936,375.448011,1.149441688
31,1826,18,118.4,2.16E-05,990,50,3.2,10.24425832,405.9897359,0.00386725
32,1826,21,118.2,2.19E-05,990,50,2.72,10.23893761,436.4986692,5.712442652
33,1826,24,117.95,2.22E-05,991,47.5,2.72,14.18386802,478.6245454,5.359534086
34,1330,-24,129.1,1.29E-05,895,125,5.42,0,1014.800085,242.129486
35,1330,-21,128,1.31E-05,895,125,4.42,40.82238305,898.9036237,84.21131863
36,1330,-18,126.9,1.34E-05,895,125,3.07,40.79685414,785.2976456,65.28560106
37,1330,-15,125.85,1.36E-05,902.5,117.5,3.05,38.98003347,679.3403085,62.4453952
38,1330,-12,124.8,1.39E-05,910,110,3.6,38.95478982,577.9120916,5.881898164
39,1330,-9,123.65,1.41E-05,925,100,4.51,42.50837737,477.0215273,27.20356463
40,1330,-6,122.5,1.44E-05,940,90,4.76,42.47964169,392.2265383,55.45627179
41,1330,-3,121.5,1.47E-05,940,90,6.36,37.49999997,332.6281374,68.81405179
42,1330,0,120.5,1.50E-05,940,90,7.64,37.46799418,304.626243,0.271172509
43,1330,3,119.25,1.52E-05,940,90,8.35,45.6991426,340.4249828,124.9502812
44,1330,6,118,1.54E-05,940,90,9.21,45.67382788,420.0678868,123.7948979
45,1330,9,117.3,1.54E-05,940,90,9.25,25.45041893,478.2208478,8.237756995
46,1330,12,116.6,1.55E-05,940,90,8.79,25.44561273,540.8750935,28.5296444
47,1330,15,115.7,1.62E-05,940,90,8.12,39.39827996,603.5613653,3.769936535
48,1330,18,114.8,1.70E-05,940,90,7.58,39.33251862,680.3095907,93.32000518
49,1330,21,113.95,1.75E-05,942.5,87.5,6.35,34.84324735,763.1932636,11.70582414
50,1330,24,113.1,1.81E-05,945,85,5.43,34.79006681,850.1780544,21.43796311
51,2002,-24,125.05,1.67E-05,1006,0,3.68,0,463.8355444,0.13361121
52,2002,-21,124.7,1.72E-05,1006,0,2.35,19.44527929,414.4186821,37.93860276
53,2002,-18,124.3,1.76E-05,1006,0,2.14,18.18099327,364.5829584,8.069943271
54,2002,-15,123.9,1.80E-05,1006,0,1.9,18.16600441,316.5491294,10.34319994
55,2002,-12,123.4,1.82E-05,1005,0,1.75,19.42610955,260.8316866,0.01065967
56,2002,-9,122.9,1.85E-05,1004,0,1.76,19.41103207,206.7740281,51.58752469
57,2002,-6,122.35,1.87E-05,1004,0,2.45,21.06425236,150.7600559,200.2565411
58,2002,-3,121.8,1.89E-05,1004,0,2.16,21.04700514,103.6942248,263.0945356
59,2002,0,121.15,1.94E-05,1003,0,2.13,26.60963624,95.57198381,213.2786609
