,ID,t,phi,f,P,mw,w10m,v,r,rf
5,1726,-9,124.7,1.57e-05,1003.0,0.0,3.58,18.21110899,469.5330444,7.62
14,1726,18,119.7,1.34e-05,1004.0,0.0,6.32,13.29066215,465.9265121,10.65
15,1726,21,119.25,1.33e-05,1004.0,0.0,6.29,16.5194928,488.160047,17.91
19,1826,-18,124.7,2.1e-05,955.0,80.0,1.89,17.7613865,465.141121,0.0
33,1826,24,117.95,2.22e-05,991.0,47.5,2.72,14.18386802,478.6245454,9.33
39,1330,-9,123.65,1.41e-05,925.0,100.0,4.51,42.50837737,477.0215273,8.4
45,1330,9,117.3,1.54e-05,940.0,90.0,9.25,25.45041893,478.2208478,30.21
51,2002,-24,125.05,1.67e-05,1006.0,0.0,3.68,0.0,463.8355444,10.26
67,2002,24,117.15,2.14e-05,998.0,35.0,2.41,20.54787755,495.9692521,4.14
70,1409,-18,125.15,1.61e-05,955.0,75.0,1.78,16.69779516,494.744205,3.87
83,1409,21,116.8,1.96e-05,970.0,60.0,3.14,17.02622197,461.8264399,5.73
86,1325,-21,125.4,1.92e-05,975.0,65.0,1.27,12.52697141,480.6003323,4.74
108,1914,-6,123.8,2.26e-05,1006.0,0.0,2.06,21.16218545,489.3037159,1.14
109,1914,-3,123.25,2.27e-05,1006.0,0.0,2.02,19.73736996,465.5880032,1.08
111,1914,3,122.3,2.36e-05,1005.0,0.0,1.98,26.26592902,496.5611649,0.57
114,1914,12,120.5,2.37e-05,1004.0,0.0,3.31,26.24320311,490.50458,3.81
121,1724,-18,124.95,1.56e-05,1005.0,0.0,2.45,26.03922536,495.902524,0.69
135,1724,24,117.3,2.13e-05,1001.0,35.0,2.14,12.00239104,476.7061548,1.44
142,1829,-6,123.5,1.39e-05,1006.0,0.0,2.64,35.38535325,485.4215965,0.57
143,1829,-3,122.55,1.37e-05,1005.0,0.0,2.74,35.06270992,450.4508453,1.62
146,1829,6,120.1,1.33e-05,1006.0,0.0,5.7,27.61268877,465.5213952,5.4
147,1829,9,119.25,1.34e-05,1006.0,0.0,5.25,31.48979794,477.930705,7.56
155,1311,-18,125.35,1.86e-05,945.0,87.5,1.12,22.63794118,470.5919764,1.56
166,1311,15,118.0,2.24e-05,965.0,70.0,5.87,24.82945647,483.3088348,16.08
188,1929,-21,124.15,1.46e-05,972.5,77.5,4.39,28.24727934,480.0498843,0.24
210,1102,-6,125.45,1.99e-05,920.0,105.0,3.31,16.70817195,499.4732466,1.44
211,1102,-3,125.1,2.03e-05,920.0,105.0,3.55,16.69419107,474.4786684,2.73
212,1102,0,124.8,2.09e-05,920.0,105.0,4.04,21.34938788,468.8308928,3.39
213,1102,3,124.5,2.15e-05,920.0,105.0,4.17,21.33552052,472.1551261,2.37
214,1102,6,124.2,2.2e-05,920.0,105.0,4.22,19.73965142,480.3905187,2.37
215,1102,9,123.9,2.26e-05,920.0,105.0,3.68,19.72546014,495.822223,3.03
237,1003,24,116.8,1.94e-05,1001.0,17.5,3.39,16.43397798,459.510047,5.22
254,1220,24,116.6,1.82e-05,994.0,40.0,2.62,14.48835941,472.427447,2.04
258,1213,-15,124.8,2.13e-05,992.0,40.0,2.78,14.1940478,485.6691425,4.71
259,1213,-12,124.4,2.13e-05,992.0,40.0,3.24,14.1940478,450.638255,3.57
267,1213,12,120.9,2.33e-05,990.0,45.0,4.54,34.18034396,454.6536611,7.56
268,1213,15,120.2,2.34e-05,987.5,47.5,5.7,24.66553902,467.4504603,7.44
269,1213,18,119.5,2.34e-05,985.0,50.0,7.54,24.65826436,491.1685213,8.58
276,1822,-12,124.9,2.13e-05,905.0,110.0,3.92,31.19440013,497.5237413,7.14
277,1822,-9,124.1,2.17e-05,905.0,110.0,4.78,31.14561641,453.8266569,10.62
283,1822,9,119.7,2.31e-05,940.0,90.0,7.88,16.84220371,453.0634218,13.38
289,1625,-24,123.2,1.39e-05,1000.0,0.0,2.98,0.0,467.6216275,1.41
315,1416,3,120.0,2.32e-05,985.0,45.0,6.57,30.42013188,455.4174962,10.02
337,1119,18,117.1,2.08e-05,972.5,62.5,4.56,18.16074217,469.6588165,2.82
343,1723,-15,123.95,1.46e-05,1007.0,0.0,5.16,27.8250536,468.6396053,24.45
355,1723,21,117.25,1.6e-05,998.0,37.5,2.99,17.89048341,457.0740472,10.86
356,1723,24,116.8,1.62e-05,996.0,40.0,2.69,17.87874209,491.6349247,13.53
359,2021,-18,124.8,1.59e-05,1005.0,0.0,2.76,42.49301852,470.6221864,1.5
369,2021,12,116.8,1.61e-05,1000.0,17.5,4.85,50.79298292,496.1740726,15.93
390,2019,24,116.8,1.89e-05,1000.0,35.0,2.99,14.33012289,452.8406503,1.05
397,1315,-6,125.3,2e-05,1000.0,35.0,2.76,18.07536348,487.3092944,2.76
398,1315,-3,124.75,2.06e-05,999.0,35.0,3.77,25.69462365,451.4127088,1.8
402,1315,9,123.9,2.25e-05,996.0,40.0,3.3,15.21258902,487.2973895,0.84
411,1223,-15,123.9,1.44e-05,998.0,35.0,5.43,21.30487964,477.2711612,5.25
421,1223,15,116.8,1.81e-05,996.0,40.0,6.17,14.37629124,451.5029242,19.92
