,ID,t,phi,f,P,mw,w10m,v,r,rf
23,1826,-6,122.3,2.09e-05,962.5,75.0,2.63,25.1525209,271.7335126,0.06
24,1826,-3,121.6,2.08e-05,970.0,70.0,2.91,25.16536731,231.085258,1.62
25,1826,0,120.85,2.07e-05,977.5,62.5,3.47,26.74096663,216.3985274,0.63
26,1826,3,120.1,2.07e-05,985.0,55.0,4.34,26.74785768,230.4995118,0.3
27,1826,6,119.6,2.09e-05,985.0,55.0,6.05,19.24930835,275.3468705,9.51
55,2002,-12,123.4,1.82e-05,1005.0,0.0,1.75,19.42610955,260.8316866,11.79
56,2002,-9,122.9,1.85e-05,1004.0,0.0,1.76,19.41103207,206.7740281,5.64
62,2002,9,119.4,2.02e-05,1002.0,0.0,3.14,20.37811226,237.0459969,23.19
63,2002,12,118.85,2.03e-05,1001.0,0.0,4.08,20.36379822,292.0355701,38.7
73,1409,-9,123.4,1.69e-05,945.0,85.0,2.96,25.21912211,293.949009,32.28
74,1409,-6,122.65,1.72e-05,945.0,85.0,3.08,29.22662249,206.4051973,36.24
79,1409,9,119.0,1.89e-05,965.0,65.0,6.69,30.099378,220.0288367,43.68
80,1409,12,118.3,1.89e-05,967.5,62.5,9.23,25.07771505,293.4754995,21.57
90,1325,-9,123.3,1.92e-05,970.0,70.0,1.4,21.47480813,260.5746153,3.45
91,1325,-6,122.85,1.93e-05,970.0,70.0,2.37,16.20812801,216.9150115,6.66
96,1325,9,119.0,1.91e-05,975.0,65.0,5.02,27.42347612,222.9666188,22.95
97,1325,12,118.6,1.91e-05,972.5,67.5,4.01,14.32335264,264.3113048,23.97
124,1724,-9,122.8,1.67e-05,1004.0,0.0,2.64,29.26854214,244.3880429,6.57
131,1724,12,118.85,1.94e-05,1002.0,35.0,4.28,20.82752501,247.2838438,50.67
158,1311,-9,123.5,1.94e-05,925.0,105.0,1.17,24.39107837,287.8002891,11.34
159,1311,-6,122.85,1.98e-05,930.0,100.0,1.99,25.72471907,240.076505,17.1
160,1311,-3,122.2,2.02e-05,935.0,95.0,2.64,25.69345963,210.9960277,16.92
161,1311,0,121.5,2.05e-05,945.0,85.0,3.37,27.2772972,206.8199031,13.92
162,1311,3,120.8,2.09e-05,955.0,75.0,4.43,27.24195593,233.3957655,9.15
163,1311,6,120.0,2.12e-05,960.0,72.5,4.75,29.8637248,280.5558665,9.93
193,1929,-6,121.3,1.52e-05,980.0,70.0,3.94,20.29505459,280.0175387,4.95
194,1929,-3,120.7,1.55e-05,982.5,67.5,5.1,22.97628995,257.5171415,16.29
195,1929,0,120.1,1.57e-05,985.0,65.0,5.62,22.96050267,252.4087636,11.1
196,1929,3,119.7,1.59e-05,988.5,60.0,5.37,15.50870476,257.7172226,23.73
197,1929,6,119.3,1.61e-05,992.0,55.0,5.02,15.50071978,270.9735842,40.17
198,1929,9,118.95,1.63e-05,988.5,60.0,4.13,13.81960991,286.8807349,14.01
221,1003,-24,122.95,1.96e-05,1008.0,0.0,1.36,0.0,240.7529615,3.51
222,1003,-21,122.8,1.94e-05,1008.0,0.0,0.64,7.717193626,218.8745625,7.2
232,1003,9,118.9,1.85e-05,1004.0,0.0,1.38,18.3232127,224.4543557,11.97
233,1003,12,118.35,1.84e-05,1004.0,0.0,1.48,19.83149818,283.5344535,9.42
245,1220,-3,118.25,1.89e-05,992.0,45.0,1.95,4.109943099,298.755712,7.83
