,ID,t,phi,f,P,mw,w10m,v,r,rf
4,1504,-12,123.8,1.97e-05,985.0,50.0,1.88,24.99322524,325.5390276,0.72
9,1504,3,121.85,2.17e-05,1002.0,17.5,2.47,51.72890867,323.6810612,0.27
21,2017,-12,123.75,1.96e-05,998.0,35.0,1.72,27.05873065,316.6676474,9.15
29,2017,12,118.3,2.02e-05,993.0,40.0,4.84,18.20535459,331.4355283,7.23
38,1306,-12,123.45,1.67e-05,1002.0,35.0,2.23,27.74627366,304.0038875,10.77
55,1117,-12,124.0,1.98e-05,960.0,75.0,6.87,19.32453991,349.4265694,6.81
56,1117,-9,123.45,2e-05,955.0,77.5,6.62,20.96664316,306.1497798,10.68
63,1117,12,119.1,2.11e-05,970.0,65.0,11.07,20.88180276,324.199513,93.06
72,1501,-12,123.6,1.7e-05,996.0,35.0,5.93,19.4521376,308.717621,6.06
81,1501,15,122.95,2.09e-05,1010.0,0.0,2.03,6.488930335,313.2389604,1.35
82,1501,18,123.1,2.1e-05,1010.0,0.0,1.44,6.486637206,332.1418573,0.27
83,1501,21,123.2,2.1e-05,1011.0,0.0,1.19,3.5522773,339.4732249,0.03
84,1501,24,123.3,2.1e-05,1012.0,0.0,1.27,3.5522773,346.9770362,0.0
