,ID,t,phi,f,P,mw,w10m,v,r,rf
2,1504,-18,125.1,1.91e-05,980.0,55.0,1.41,28.40386188,447.2690984,0.09
10,1504,6,121.1,2.32e-05,1004.0,0.0,2.74,51.63825654,443.6451131,0.27
32,2017,21,117.4,1.98e-05,985.0,55.0,5.52,10.28235772,406.0018833,9.33
53,1117,-18,125.0,1.93e-05,965.0,70.0,4.08,18.72793917,440.1512506,7.62
65,1117,18,117.9,2.15e-05,970.0,65.0,7.47,21.98017292,436.3704619,11.52
70,1501,-18,124.3,1.6e-05,992.0,40.0,4.85,17.2083496,417.6875953,0.27
91,1111,-6,124.5,2.07e-05,955.0,80.0,4.01,12.99029657,430.3997315,1.26
92,1111,-3,124.25,2.06e-05,947.5,85.0,4.43,9.087132353,404.5694673,1.86
97,1111,12,123.6,2.15e-05,925.0,100.0,5.53,10.66776026,400.6056189,0.51
98,1111,15,123.45,2.17e-05,925.0,100.0,5.93,7.682200058,402.0143664,6.06
99,1111,18,123.3,2.19e-05,925.0,100.0,6.47,7.679203204,404.7656539,9.36
100,1111,21,123.05,2.21e-05,930.0,97.5,6.29,11.5257174,407.5921379,7.59
101,1111,24,122.8,2.24e-05,935.0,95.0,5.03,11.51816159,413.3640081,4.86
