,ID,t,phi,f,P,mw,w10m,v,r,rf
11,1504,9,120.25,2.37e-05,1006.0,0.0,3.29,34.14642721,499.4006185,0.93
19,2017,-18,125.25,1.91e-05,1001.0,17.5,1.94,28.39783614,463.928894,6.6
33,2017,24,116.95,1.99e-05,985.0,55.0,4.54,16.47961796,455.0103995,10.08
36,1306,-18,124.55,1.55e-05,1002.0,35.0,1.74,27.54415829,464.7095914,1.38
47,1306,15,117.2,2.05e-05,994.0,40.0,4.2,32.16889688,450.3931594,7.11
52,1117,-21,125.5,1.91e-05,965.0,70.0,3.48,18.74019316,490.4740489,5.52
66,1117,21,117.25,2.14e-05,970.0,65.0,5.12,23.12089071,487.2645429,3.36
69,1501,-21,124.75,1.58e-05,991.0,42.5,5.3,17.21738767,468.5856642,0.42
89,1111,-12,125.2,2.04e-05,965.0,75.0,2.09,7.359223135,488.3674537,1.41
90,1111,-9,124.85,2.05e-05,960.0,77.5,2.95,12.9964464,458.6086671,0.84
