,ID,t,phi,f,P,mw,w10m,v,r,rf
6,1726,-6,124.2,1.57e-05,1004.0,0.0,3.96,18.20762988,420.4958242,2.46
12,1726,12,120.4,1.36e-05,1004.0,0.0,6.8,26.16163125,426.8853954,11.22
13,1726,15,120.05,1.35e-05,1004.0,0.0,6.58,13.2866408,445.0454328,9.36
20,1826,-15,124.2,2.1e-05,955.0,80.0,2.71,17.7613865,420.6817425,0.3
31,1826,18,118.4,2.16e-05,990.0,50.0,3.2,10.24425832,405.9897359,10.17
32,1826,21,118.2,2.19e-05,990.0,50.0,2.72,10.23893761,436.4986692,10.23
44,1330,6,118.0,1.54e-05,940.0,90.0,9.21,45.67382788,420.0678868,42.15
52,2002,-21,124.7,1.72e-05,1006.0,0.0,2.35,19.44527929,414.4186821,4.02
66,2002,21,117.6,2.1e-05,998.0,35.0,3.95,14.4677759,435.0812774,3.87
71,1409,-15,124.7,1.62e-05,950.0,80.0,2.0,16.69147687,445.5417394,4.95
82,1409,18,117.2,1.93e-05,970.0,60.0,5.28,17.04069548,414.3625267,11.52
87,1325,-18,124.95,1.92e-05,972.5,67.5,1.28,16.1061061,432.979296,3.0
100,1325,21,117.0,1.88e-05,970.0,70.0,5.23,21.82108475,430.4383279,10.17
110,1914,0,122.7,2.28e-05,1006.0,0.0,1.87,19.7264154,448.5557161,1.41
122,1724,-15,124.3,1.6e-05,1006.0,0.0,2.37,26.01443846,417.6875953,1.74
134,1724,21,117.6,2.11e-05,1002.0,35.0,3.55,24.44118485,441.2377161,2.76
144,1829,0,121.6,1.35e-05,1004.0,0.0,3.31,35.07974319,438.4458081,4.38
145,1829,3,120.85,1.34e-05,1005.0,0.0,4.26,27.60387671,444.5370508,5.82
156,1311,-15,124.8,1.89e-05,940.0,90.0,1.34,22.61396535,413.9939184,2.46
165,1311,12,118.6,2.19e-05,965.0,70.0,4.63,24.86471559,413.290977,12.15
170,1510,-24,125.0,1.93e-05,990.0,40.0,3.76,0.0,440.1512506,0.84
171,1510,-21,124.8,1.97e-05,990.0,40.0,3.42,14.78651547,428.3469913,3.42
172,1510,-18,124.6,2.02e-05,990.0,40.0,3.77,14.78063406,421.0396799,3.0
185,1510,21,119.65,2.25e-05,992.0,40.0,6.54,7.66801259,407.5882682,20.55
186,1510,24,119.5,2.27e-05,992.0,40.0,4.45,7.664905716,428.7500836,10.86
189,1929,-18,123.4,1.49e-05,970.0,80.0,2.71,28.22827671,407.7150178,1.02
236,1003,21,117.0,1.89e-05,1002.0,0.0,1.31,17.0549458,431.5126155,6.96
238,1220,-24,117.2,1.93e-05,992.0,45.0,1.48,0.0,415.4111979,12.27
253,1220,21,117.0,1.81e-05,994.0,40.0,2.78,14.49157019,429.6140436,1.56
260,1213,-9,124.1,2.14e-05,992.0,40.0,4.65,11.26458577,432.1598828,3.66
261,1213,-6,123.8,2.15e-05,992.0,40.0,5.62,11.2591786,415.6663109,6.27
