,ID,t,phi,f,P,mw,w10m,v,r,rf
57,2002,-6,122.35,1.87e-05,1004.0,0.0,2.45,21.06425236,150.7600559,2.16
58,2002,-3,121.8,1.89e-05,1004.0,0.0,2.16,21.04700514,103.6942248,0.39
60,2002,3,120.5,1.98e-05,1002.0,0.0,0.69,26.57504098,142.3999295,9.33
61,2002,6,119.95,2e-05,1002.0,0.0,1.19,20.39229786,185.7718403,16.08
75,1409,-3,121.9,1.76e-05,945.0,85.0,2.9,29.19439029,119.678222,28.68
78,1409,6,119.7,1.84e-05,962.5,67.5,5.68,30.14290393,138.1869027,42.66
92,1325,-3,122.4,1.93e-05,970.0,70.0,3.42,16.2042901,175.9326104,21.42
93,1325,0,121.45,1.94e-05,972.5,67.5,3.71,34.02761346,106.4388374,40.71
94,1325,3,120.5,1.94e-05,975.0,65.0,4.31,34.01941778,112.0617763,35.52
95,1325,6,119.75,1.93e-05,975.0,65.0,5.63,27.40468372,156.0331391,27.33
125,1724,-6,122.15,1.7e-05,1004.0,0.0,4.61,25.20544721,172.2109836,12.87
126,1724,-3,121.5,1.73e-05,1004.0,0.0,5.04,25.18232647,105.3435278,21.06
129,1724,6,119.75,1.85e-05,1003.0,17.5,2.35,22.64583038,133.1032901,48.84
130,1724,9,119.2,1.88e-05,1002.0,35.0,2.73,22.62200862,196.6025899,33.15
223,1003,-18,122.6,1.93e-05,1008.0,0.0,0.9,8.054501233,194.7952209,7.05
224,1003,-15,122.4,1.92e-05,1008.0,0.0,1.39,8.057542056,170.6972476,4.8
225,1003,-12,122.25,1.91e-05,1008.0,0.0,1.86,6.521770172,151.3940738,5.01
226,1003,-9,122.1,1.89e-05,1008.0,0.0,1.48,6.523855074,132.1361788,6.81
230,1003,3,119.9,1.87e-05,1006.0,0.0,0.56,25.70711406,120.9584371,6.09
231,1003,6,119.4,1.86e-05,1005.0,0.0,1.58,18.31514028,171.666934,9.6
380,2019,-6,121.9,1.72e-05,980.0,60.0,3.55,30.86560522,141.1397032,25.89
384,2019,6,119.5,1.82e-05,1000.0,35.0,6.29,32.54301625,160.160134,9.48
416,1223,0,120.25,1.69e-05,998.0,40.0,5.47,32.29604578,155.3788395,21.06
417,1223,3,119.6,1.76e-05,998.0,40.0,6.17,32.25286202,163.6593653,53.46
431,1626,-6,122.1,1.7e-05,950.0,85.0,4.77,25.31920481,168.2801236,2.19
432,1626,-3,121.4,1.71e-05,950.0,85.0,4.82,25.31389884,120.2531524,3.24
434,1626,3,119.7,1.77e-05,970.0,70.0,5.43,31.95744778,149.3127163,42.27
449,1928,-3,121.5,1.67e-05,967.5,75.0,7.19,25.35063788,160.4027631,2.85
450,1928,0,120.8,1.67e-05,975.0,70.0,8.46,25.345447,146.0617496,27.69
451,1928,3,120.25,1.68e-05,977.5,67.5,11.16,19.94302748,160.183397,87.99
452,1928,6,119.7,1.69e-05,980.0,65.0,13.38,19.93892564,192.7033878,126.24
482,1522,-6,122.7,1.91e-05,1002.0,35.0,1.81,23.56895014,196.0219469,4.38
483,1522,-3,122.0,1.94e-05,1000.0,37.5,1.47,27.37962951,147.657015,4.38
484,1522,0,121.3,1.98e-05,998.0,40.0,1.37,27.34613544,136.9991531,7.47
485,1522,3,120.7,2.02e-05,998.0,40.0,1.14,24.09805163,168.7180354,19.86
517,1524,-3,121.85,2.01e-05,932.5,95.0,6.45,9.104871529,185.3703832,40.77
518,1524,0,121.6,2e-05,940.0,90.0,7.92,9.107059142,168.4159258,12.84
519,1524,3,121.5,2.01e-05,945.0,85.0,10.15,4.017136523,169.7407186,4.29
520,1524,6,121.4,2.02e-05,950.0,80.0,11.28,4.016341939,171.9056983,5.55
521,1524,9,121.35,2.03e-05,955.0,75.0,13.2,4.105876364,181.4065102,17.13
522,1524,12,121.3,2.04e-05,960.0,70.0,12.86,4.105493778,191.2313183,27.21
567,1621,-6,122.4,1.94e-05,942.5,90.0,5.17,25.0624051,178.7511443,24.75
568,1621,-3,121.8,1.98e-05,935.0,95.0,6.03,25.03111906,159.0073049,43.26
569,1621,0,120.8,2e-05,950.0,85.0,7.5,36.42823657,156.120602,46.89
