,ID,t,phi,f,P,mw,w10m,v,r,rf
634,2001,-9,122.3,1.72e-05,986.0,57.5,2.83,19.38135159,177.5755296,4.23
635,2001,-6,121.9,1.76e-05,992.0,50.0,2.87,19.3653162,119.678222,5.88
638,2001,3,120.95,1.95e-05,997.0,40.0,5.82,27.10479647,105.0151681,52.23
639,2001,6,120.6,2.03e-05,1000.0,35.0,6.91,27.08664533,181.7463583,157.68
669,1002,-6,122.3,1.82e-05,975.0,65.0,0.85,21.63394249,142.4941158,60.6
673,1002,6,119.6,1.85e-05,985.0,55.0,1.81,24.47463588,149.2086308,41.91
703,2022,-6,122.8,1.86e-05,965.0,75.0,5.77,14.57375127,196.8459224,5.7
704,2022,-3,122.05,1.88e-05,967.5,72.5,7.45,27.45439745,121.0849735,21.96
707,2022,6,119.6,1.91e-05,985.0,55.0,11.91,30.49326662,162.5382448,87.84
789,2018,-3,121.8,1.65e-05,975.0,70.0,3.58,25.56755566,189.0036103,19.92
790,2018,0,121.1,1.65e-05,975.0,70.0,5.06,25.36096204,161.8706424,27.3
791,2018,3,120.4,1.66e-05,975.0,70.0,6.73,25.35580956,168.1089496,62.85
857,2015,-3,121.9,1.64e-05,1007.0,0.0,2.14,25.90484812,199.1219007,17.43
858,2015,0,121.2,1.62e-05,1006.0,0.0,2.91,25.91975747,190.5774233,19.56
908,1912,-3,121.9,2e-05,1002.0,0.0,3.28,42.49406926,183.4092569,0.57
909,1912,0,120.75,2.01e-05,1001.0,0.0,2.96,41.05082068,162.3589745,2.7
925,1108,-3,122.7,1.87e-05,990.0,45.0,5.14,11.70264839,187.6876383,23.13
926,1108,0,122.5,1.91e-05,990.0,45.0,5.82,14.79471197,178.0691588,27.87
927,1108,3,122.3,1.96e-05,990.0,45.0,5.36,14.78899988,179.3753656,29.91
928,1108,6,121.95,2.01e-05,990.0,45.0,4.82,20.80560353,190.9528355,28.83
938,1422,-15,122.3,1.68e-05,982.5,57.5,5.54,12.16952342,199.3539055,18.48
939,1422,-12,122.0,1.7e-05,985.0,55.0,6.01,12.16351176,164.7755192,22.68
940,1422,-9,121.6,1.71e-05,987.5,50.0,6.77,14.89307364,129.944387,25.59
941,1422,-6,121.2,1.72e-05,990.0,45.0,7.96,14.88715437,103.0644993,46.53
942,1422,-3,121.1,1.72e-05,990.0,42.5,8.51,3.605078444,101.142187,74.43
943,1422,0,121.0,1.72e-05,990.0,40.0,8.07,3.605078444,100.3550278,64.53
944,1422,3,120.8,1.72e-05,992.0,37.5,7.74,7.210156888,102.253248,58.14
945,1422,6,120.6,1.72e-05,994.0,35.0,7.99,7.210156888,108.5176315,51.42
946,1422,9,120.15,1.72e-05,994.0,35.0,8.79,16.3313568,138.9813558,41.34
947,1422,12,119.7,1.71e-05,994.0,35.0,8.07,16.33476704,177.943262,27.03
