,ID,t,phi,f,P,mw,w10m,v,r,rf
270,1213,21,118.85,2.34e-05,980.0,55.0,6.64,22.83244461,517.045726,8.16
271,1213,24,118.2,2.34e-05,975.0,60.0,5.15,22.83244461,550.2815813,6.33
272,1822,-24,127.4,1.96e-05,905.0,110.0,2.28,0.0,696.9255955,2.4
273,1822,-21,126.9,2e-05,905.0,110.0,2.32,23.1734834,651.9166101,4.44
274,1822,-18,126.3,2.05e-05,905.0,110.0,2.72,24.98060672,600.1666204,6.9
275,1822,-15,125.7,2.09e-05,905.0,110.0,2.93,24.94760774,554.1999207,8.4
284,1822,12,119.0,2.35e-05,945.0,87.5,8.65,27.78321045,515.4188398,8.22
285,1822,15,118.3,2.39e-05,950.0,85.0,8.49,27.73753503,582.8231258,6.75
286,1822,18,117.65,2.43e-05,952.5,82.5,6.76,25.30017498,646.1576134,4.68
287,1822,21,117.0,2.46e-05,955.0,80.0,4.44,25.26207348,711.7022906,2.67
288,1822,24,116.15,2.51e-05,957.5,77.5,3.64,33.09375974,800.3743279,2.1
316,1416,6,119.8,2.42e-05,985.0,45.0,5.61,30.41318306,546.5561747,4.26
317,1416,9,119.65,2.46e-05,985.0,45.0,4.67,13.96823524,587.9348756,6.78
318,1416,12,119.5,2.5e-05,985.0,45.0,4.5,13.96405209,629.3535355,6.6
319,1416,15,119.6,2.53e-05,985.0,45.0,5.34,9.881960053,653.8479892,1.92
320,1416,18,119.7,2.56e-05,985.0,45.0,6.09,9.880050951,678.7683787,0.42
321,1416,21,119.85,2.58e-05,985.0,45.0,5.57,7.608554229,692.2489461,0.36
322,1416,24,120.0,2.59e-05,985.0,45.0,3.42,7.605034996,706.220728,0.27
323,1119,-24,126.6,2.21e-05,945.0,87.5,2.78,0.0,687.7362099,0.6
324,1119,-21,125.8,2.2e-05,940.0,90.0,2.94,28.5364533,609.8162889,0.99
325,1119,-18,124.95,2.16e-05,940.0,90.0,2.77,32.78664277,513.9600912,0.81
338,1119,21,116.6,2.09e-05,975.0,60.0,3.34,18.15166111,521.9366463,3.63
339,1119,24,116.1,2.11e-05,977.5,57.5,4.14,19.23204746,579.0749075,4.77
340,1723,-24,125.9,1.41e-05,1006.0,0.0,3.43,0.0,656.5610348,11.28
341,1723,-21,125.3,1.42e-05,1007.0,0.0,5.22,22.14339227,597.1441558,18.87
342,1723,-18,124.7,1.44e-05,1008.0,0.0,6.02,22.13585386,539.4446846,29.13
357,2021,-24,126.85,1.48e-05,1007.0,0.0,2.09,0.0,713.6387235,0.42
358,2021,-21,125.9,1.54e-05,1006.0,0.0,2.08,38.26471387,597.8998794,0.3
370,2021,15,115.4,1.62e-05,998.0,35.0,4.73,50.7728726,634.5572219,24.81
371,2021,18,114.2,1.62e-05,997.0,37.5,4.28,43.45200176,761.385701,9.06
372,2021,21,113.0,1.61e-05,996.0,40.0,2.58,43.46061927,889.3203759,24.66
373,2021,24,112.5,1.59e-05,994.0,42.5,1.58,18.93402109,946.4890477,46.53
374,2019,-24,126.5,1.78e-05,915.0,115.0,5.18,0.0,597.157736,19.47
375,2019,-21,125.75,1.76e-05,910.0,117.5,4.66,27.99824502,519.3297144,35.34
391,1315,-24,128.1,1.7e-05,1002.0,0.0,2.37,0.0,780.1395449,3.87
392,1315,-21,127.55,1.78e-05,1002.0,0.0,2.59,31.13990869,710.7305477,4.98
393,1315,-18,127.0,1.86e-05,1002.0,0.0,1.77,31.10350711,648.037834,3.03
394,1315,-15,126.55,1.89e-05,1002.0,0.0,0.89,19.57156522,600.9284819,2.01
395,1315,-12,126.1,1.93e-05,1002.0,0.0,0.79,19.55268312,556.3099679,2.7
