,ID,t,phi,f,P,mw,w10m,v,r,rf
5,1504,-9,123.4,1.99e-05,990.5,45.0,1.58,15.31853536,293.5142371,0.18
6,1504,-6,123.0,2e-05,996.0,40.0,2.75,15.30860746,265.7339988,0.0
7,1504,-3,122.8,2.02e-05,998.0,37.5,3.11,8.032683878,255.644153,0.0
8,1504,0,122.6,2.03e-05,1000.0,35.0,3.38,8.029491363,247.5304704,0.0
22,2017,-9,123.0,1.97e-05,996.0,35.0,1.59,27.0457524,248.0879,12.96
26,2017,3,119.8,2.02e-05,996.0,35.0,4.99,36.08036908,208.6671324,22.86
27,2017,6,119.3,2.01e-05,996.0,35.0,5.45,17.92573287,241.1012485,23.88
28,2017,9,118.8,2e-05,996.0,35.0,5.22,17.93017829,280.215849,17.76
39,1306,-9,122.8,1.72e-05,1002.0,35.0,2.77,27.7131125,220.7231957,20.49
44,1306,6,119.15,1.88e-05,998.0,37.5,3.74,23.58825416,200.7574199,59.4
45,1306,9,118.6,1.92e-05,996.0,40.0,6.04,23.56114297,267.1867956,38.91
57,1117,-6,122.9,2.03e-05,950.0,80.0,7.14,20.94817575,270.9100146,21.09
58,1117,-3,122.2,2.03e-05,955.0,77.5,8.46,25.00535986,224.2708779,33.36
61,1117,6,120.2,2.07e-05,970.0,65.0,10.28,23.41997984,226.3489981,33.12
62,1117,9,119.65,2.09e-05,970.0,65.0,11.21,20.90104173,272.5306096,77.82
73,1501,-9,123.25,1.72e-05,996.0,35.0,6.09,14.6265477,264.9976824,6.45
74,1501,-6,122.9,1.75e-05,996.0,35.0,6.24,14.61724055,221.4802806,9.66
78,1501,6,122.5,2e-05,1004.0,0.0,3.99,22.26646921,224.4377557,21.12
79,1501,9,122.65,2.04e-05,1007.0,0.0,2.51,12.31648133,259.1723743,7.05
80,1501,12,122.8,2.08e-05,1010.0,0.0,2.41,12.31299976,294.3853891,3.6
