,ID,t,phi,f,P,mw,w10m,v,r,rf
335,1119,12,118.2,2.06E-05,967.5,67.5,4.93,21.43253344,360.8179359,3.21
345,1723,-9,122.75,1.49E-05,1007,0,3.44,16.75832193,365.9606124,18.27
352,1723,12,118.6,1.54E-05,1002,0,4.17,16.73469136,371.9580108,20.13
353,1723,15,118.15,1.56E-05,1001,17.5,3.53,17.22927488,396.7625442,13.08
368,2021,9,118.2,1.60E-05,1002,0,5.16,32.57880261,368.6909346,11.22
377,2019,-15,124.3,1.72E-05,925,110,3.11,25.8435226,374.1974372,40.74
388,2019,18,117.6,1.89E-05,1000,35,3.68,15.36682054,367.6453466,0.33
419,1223,9,117.6,1.81E-05,998,40,7.58,36.69421917,365.3795259,102.06
437,1626,12,117.7,1.83E-05,972.5,67.5,6.23,26.20189421,353.574948,7.83
445,1928,-15,124.1,1.64E-05,950,90,3.54,22.38730685,379.5529042,3.99
456,1928,18,117.6,1.76E-05,992,50,5.26,18.83777526,371.4225514,15.81
464,1720,-9,121.1,2.24E-05,993,35,2.2,30.35018476,365.9858404,4.56
470,1720,9,118.5,2.09E-05,982.5,47.5,4.97,7.108287493,352.3387728,10.38
471,1720,12,118.3,2.09E-05,980,50,3.86,7.108287493,368.6260424,14.97
472,1720,15,118.2,2.13E-05,980,50,3.85,11.65133294,398.0146587,21.18
479,1522,-15,124.5,1.78E-05,1007,0,1.83,27.51760504,382.2750395,6.51
489,1522,15,118.35,2.09E-05,993,47.5,4.44,20.90104173,364.5054958,10.32
498,1506,-9,124.6,1.93E-05,945,90,2.42,14.16692311,398.1883372,0.06
499,1506,-6,124.25,1.97E-05,940,95,1.93,17.99625161,372.4870746,0.09
500,1506,-3,123.9,2.02E-05,935,100,1.06,17.98124041,353.4709617,0.42
501,1506,0,123.6,2.07E-05,927.5,105,3.9,19.77298325,353.0719791,1.05
502,1506,3,123.3,2.13E-05,920,110,3.15,19.75958207,362.7323336,1.59
503,1506,6,122.95,2.17E-05,920,110,2.65,19.30144499,374.119788,3.51
504,1506,9,122.6,2.22E-05,920,110,2.62,19.28400764,393.9491031,1.98
510,1524,-24,124.5,1.98E-05,940,90,1.74,0,399.4890051,5.88
511,1524,-21,124.15,1.98E-05,935,92.5,2.45,12.49658866,364.3409654,4.5
530,1714,-15,124.4,1.89E-05,998,37.5,1.88,18.01207305,370.733124,1.38
550,1622,-6,123.1,2.16E-05,915,100,5.3,30.43760731,374.39514,0.39
551,1622,-3,122.3,2.19E-05,927.5,95,5.15,29.26206887,350.5090535,1.38
553,1622,3,120.8,2.25E-05,942.5,85,5.79,27.8846419,382.9081663,2.94
